Genotype,Cultivar,Temperature,APX_nkat_gFW
TAR,Mv Tarsoly,20C,25.55
TAR,Mv Tarsoly,20C,25.09
TAR,Mv Tarsoly,20C,23.99
TAR,Mv Tarsoly,20C,26.38
TAR,Mv Tarsoly,20C,24.45
TAR,Mv Tarsoly,35C,28.06
TAR,Mv Tarsoly,35C,26.46
TAR,Mv Tarsoly,35C,25.11
TAR,Mv Tarsoly,35C,28.23
TAR,Mv Tarsoly,35C,27.66
TAR,Mv Tarsoly,40C,17.98
TAR,Mv Tarsoly,40C,18.67
TAR,Mv Tarsoly,40C,19.49
TAR,Mv Tarsoly,40C,19.68
TAR,Mv Tarsoly,40C,18.95
KOL,Mv Kolompos,20C,19.32
KOL,Mv Kolompos,20C,18.79
KOL,Mv Kolompos,20C,21.24
KOL,Mv Kolompos,20C,19.42
KOL,Mv Kolompos,20C,19.8
KOL,Mv Kolompos,35C,31.87
KOL,Mv Kolompos,35C,33.2
KOL,Mv Kolompos,35C,31.85
KOL,Mv Kolompos,35C,33.38
KOL,Mv Kolompos,35C,33.88
KOL,Mv Kolompos,40C,21.07
KOL,Mv Kolompos,40C,21.87
KOL,Mv Kolompos,40C,21.75
KOL,Mv Kolompos,40C,23.95
KOL,Mv Kolompos,40C,22.87
LUC,Mv Lucilla,20C,11.55
LUC,Mv Lucilla,20C,15.73
LUC,Mv Lucilla,20C,12.6
LUC,Mv Lucilla,20C,13.29
PIR,Mv Pirkadat,20C,4.56
PIR,Mv Pirkadat,20C,6.15
PIR,Mv Pirkadat,20C,8.43
PIR,Mv Pirkadat,20C,5.46
IKV,Mv Ikva,20C,5.7
IKV,Mv Ikva,20C,5.9
IKV,Mv Ikva,20C,6.8
IKV,Mv Ikva,20C,7.39
DAN,Mv Dandár,20C,9.52
DAN,Mv Dandár,20C,10
DAN,Mv Dandár,20C,11.19
DAN,Mv Dandár,20C,11.55
LUC,Mv Lucilla,35C,24.57
LUC,Mv Lucilla,35C,26.03
LUC,Mv Lucilla,35C,25.88
LUC,Mv Lucilla,35C,23.97
PIR,Mv Pirkadat,35C,17.26
PIR,Mv Pirkadat,35C,19.52
PIR,Mv Pirkadat,35C,17.02
PIR,Mv Pirkadat,35C,20
IKV,Mv Ikva,35C,11.86
IKV,Mv Ikva,35C,14.36
IKV,Mv Ikva,35C,13.49
IKV,Mv Ikva,35C,14.25
DAN,Mv Dandár,35C,29.48
DAN,Mv Dandár,35C,32.34
DAN,Mv Dandár,35C,30.44
DAN,Mv Dandár,35C,30.75
LUC,Mv Lucilla,40C,19.85
LUC,Mv Lucilla,40C,20.07
LUC,Mv Lucilla,40C,20.93
LUC,Mv Lucilla,40C,20.85
PIR,Mv Pirkadat,40C,17.43
PIR,Mv Pirkadat,40C,19.09
PIR,Mv Pirkadat,40C,20.04
PIR,Mv Pirkadat,40C,18.36
IKV,Mv Ikva,40C,20.29
IKV,Mv Ikva,40C,18.13
IKV,Mv Ikva,40C,20.03
IKV,Mv Ikva,40C,21.26
DAN,Mv Dandár,40C,17.62
DAN,Mv Dandár,40C,19.4
DAN,Mv Dandár,40C,18.99
DAN,Mv Dandár,40C,20.2
