Genotype,Cultivar,Temperature,DHAR_nkat_gFW
LUC,Mv Lucilla,40C,2194.14
LUC,Mv Lucilla,40C,1978.07
LUC,Mv Lucilla,40C,1982.66
LUC,Mv Lucilla,40C,2100.71
PIR,Mv Pirkadat,40C,1685.13
PIR,Mv Pirkadat,40C,1898.53
PIR,Mv Pirkadat,40C,1968.6
PIR,Mv Pirkadat,40C,1664.76
KOL,Mv Kolompos,40C,2342.90
KOL,Mv Kolompos,40C,2440.68
KOL,Mv Kolompos,40C,2160.80
KOL,Mv Kolompos,40C,2455.62
TAR,Mv Tarsoly,40C,1601.26
TAR,Mv Tarsoly,40C,1471.74
TAR,Mv Tarsoly,40C,1643.73
TAR,Mv Tarsoly,40C,1530.13
IKV,Mv Ikva,40C,1542.07
IKV,Mv Ikva,40C,1618.51
IKV,Mv Ikva,40C,1570.74
IKV,Mv Ikva,40C,1492.17
DAN,Mv Dandár,40C,1546.58
DAN,Mv Dandár,40C,1490.31
DAN,Mv Dandár,40C,1337.43
DAN,Mv Dandár,40C,1460.59
DAN,Mv Dandár,20C,2480.91
DAN,Mv Dandár,20C,2639.3
DAN,Mv Dandár,20C,2496.18
DAN,Mv Dandár,20C,2694.71
TAR,Mv Tarsoly,20C,3196.79
TAR,Mv Tarsoly,20C,3099.96
TAR,Mv Tarsoly,20C,3210.37
TAR,Mv Tarsoly,20C,3026.92
IKV,Mv Ikva,20C,2904.52
IKV,Mv Ikva,20C,2718.32
IKV,Mv Ikva,20C,2773.17
IKV,Mv Ikva,20C,2934.45
LUC,Mv Lucilla,20C,2995.07
LUC,Mv Lucilla,20C,2923.72
LUC,Mv Lucilla,20C,2845.59
LUC,Mv Lucilla,20C,2771.69
PIR,Mv Pirkadat,20C,2918.52
PIR,Mv Pirkadat,20C,2706.19
PIR,Mv Pirkadat,20C,2511.9
PIR,Mv Pirkadat,20C,2643.55
KOL,Mv Kolompos,20C,2398.84
KOL,Mv Kolompos,20C,2383.13
KOL,Mv Kolompos,20C,2276.11
KOL,Mv Kolompos,20C,2203.91
DAN,Mv Dandár,35C,4010.42
DAN,Mv Dandár,35C,4071.29
DAN,Mv Dandár,35C,3945.46
DAN,Mv Dandár,35C,4139.32
TAR,Mv Tarsoly,35C,3231.32
TAR,Mv Tarsoly,35C,3083.87
TAR,Mv Tarsoly,35C,3080.72
TAR,Mv Tarsoly,35C,3178.31
IKV,Mv Ikva,35C,3472.28
IKV,Mv Ikva,35C,3484.27
IKV,Mv Ikva,35C,3755.83
IKV,Mv Ikva,35C,3696.88
LUC,Mv Lucilla,35C,4158.64
LUC,Mv Lucilla,35C,4352.22
LUC,Mv Lucilla,35C,4326.23
LUC,Mv Lucilla,35C,4193.47
PIR,Mv Pirkadat,35C,3743.63
PIR,Mv Pirkadat,35C,4042.22
PIR,Mv Pirkadat,35C,3829.34
PIR,Mv Pirkadat,35C,3699.18
KOL,Mv Kolompos,35C,2340.79
KOL,Mv Kolompos,35C,2589.89
KOL,Mv Kolompos,35C,2620.67
KOL,Mv Kolompos,35C,2448.65
