Genotype,Cultivar,Temperature,GR_nkat_gFW
TAR,Mv Tarsoly,20C,9.06
TAR,Mv Tarsoly,20C,10.37
TAR,Mv Tarsoly,20C,10.61
TAR,Mv Tarsoly,20C,9.19
KOL,Mv Kolompos,20C,6.88
KOL,Mv Kolompos,20C,6.72
KOL,Mv Kolompos,20C,7.4
KOL,Mv Kolompos,20C,7.01
LUC,Mv Lucilla,20C,12.76
LUC,Mv Lucilla,20C,13.59
LUC,Mv Lucilla,20C,12.14
LUC,Mv Lucilla,20C,13.04
PIR,Mv Pirkadat,20C,13.88
PIR,Mv Pirkadat,20C,14.24
PIR,Mv Pirkadat,20C,12.83
PIR,Mv Pirkadat,20C,14.57
IKV,Mv Ikva,20C,7.79
IKV,Mv Ikva,20C,8.37
IKV,Mv Ikva,20C,8.65
IKV,Mv Ikva,20C,9.55
DAN,Mv Dandár,20C,9.41
DAN,Mv Dandár,20C,9.15
DAN,Mv Dandár,20C,10.75
DAN,Mv Dandár,20C,10.35
TAR,Mv Tarsoly,35C,11.56
TAR,Mv Tarsoly,35C,13.14
TAR,Mv Tarsoly,35C,11.27
TAR,Mv Tarsoly,35C,11.81
KOL,Mv Kolompos,35C,8.95
KOL,Mv Kolompos,35C,8.22
KOL,Mv Kolompos,35C,8.99
KOL,Mv Kolompos,35C,9.52
LUC,Mv Lucilla,35C,26
LUC,Mv Lucilla,35C,26.96
LUC,Mv Lucilla,35C,24.8
LUC,Mv Lucilla,35C,25.39
PIR,Mv Pirkadat,35C,27.94
PIR,Mv Pirkadat,35C,26.64
PIR,Mv Pirkadat,35C,25.66
PIR,Mv Pirkadat,35C,25.82
IKV,Mv Ikva,35C,14.91
IKV,Mv Ikva,35C,14.32
IKV,Mv Ikva,35C,14.55
IKV,Mv Ikva,35C,16.51
DAN,Mv Dandár,35C,19.01
DAN,Mv Dandár,35C,18.94
DAN,Mv Dandár,35C,19.9
DAN,Mv Dandár,35C,21.5
TAR,Mv Tarsoly,40C,12.52
TAR,Mv Tarsoly,40C,12.78
TAR,Mv Tarsoly,40C,12.94
TAR,Mv Tarsoly,40C,12.75
KOL,Mv Kolompos,40C,11.54
KOL,Mv Kolompos,40C,11
KOL,Mv Kolompos,40C,11.2
KOL,Mv Kolompos,40C,10.92
LUC,Mv Lucilla,40C,16.18
LUC,Mv Lucilla,40C,15.99
LUC,Mv Lucilla,40C,15.84
LUC,Mv Lucilla,40C,15.41
PIR,Mv Pirkadat,40C,14.78
PIR,Mv Pirkadat,40C,17.29
PIR,Mv Pirkadat,40C,15.52
PIR,Mv Pirkadat,40C,15.61
IKV,Mv Ikva,40C,16.98
IKV,Mv Ikva,40C,15.49
IKV,Mv Ikva,40C,15.8
IKV,Mv Ikva,40C,15.4
DAN,Mv Dandár,40C,11.97
DAN,Mv Dandár,40C,12.04
DAN,Mv Dandár,40C,12.26
DAN,Mv Dandár,40C,12.51
