Genotype,Cultivar,Temperature,GST_nkat_gFW
TAR,Mv Tarsoly,20C,18.96
TAR,Mv Tarsoly,20C,16.67
TAR,Mv Tarsoly,20C,19.12
TAR,Mv Tarsoly,20C,16.51
KOL,Mv Kolompos,20C,25.61
KOL,Mv Kolompos,20C,26.18
KOL,Mv Kolompos,20C,24.31
KOL,Mv Kolompos,20C,26.28
LUC,Mv Lucilla,20C,5.1
LUC,Mv Lucilla,20C,6.41
LUC,Mv Lucilla,20C,3.54
LUC,Mv Lucilla,20C,5.36
PIR,Mv Pirkadat,20C,19.42
PIR,Mv Pirkadat,20C,20.79
PIR,Mv Pirkadat,20C,21.69
PIR,Mv Pirkadat,20C,19.25
IKV,Mv Ikva,20C,23.66
IKV,Mv Ikva,20C,24.66
IKV,Mv Ikva,20C,25.39
IKV,Mv Ikva,20C,27.35
DAN,Mv Dandár,20C,17.03
DAN,Mv Dandár,20C,19.11
DAN,Mv Dandár,20C,17.92
DAN,Mv Dandár,20C,17.19
TAR,Mv Tarsoly,35C,28.36
TAR,Mv Tarsoly,35C,26.95
TAR,Mv Tarsoly,35C,29.82
TAR,Mv Tarsoly,35C,25.91
KOL,Mv Kolompos,35C,28.85
KOL,Mv Kolompos,35C,28.99
KOL,Mv Kolompos,35C,29.60
KOL,Mv Kolompos,35C,32.55
LUC,Mv Lucilla,35C,31.77
LUC,Mv Lucilla,35C,34.25
LUC,Mv Lucilla,35C,35.19
LUC,Mv Lucilla,35C,31.58
PIR,Mv Pirkadat,35C,33.29
PIR,Mv Pirkadat,35C,35.69
PIR,Mv Pirkadat,35C,36.85
PIR,Mv Pirkadat,35C,35.21
IKV,Mv Ikva,35C,34.5
IKV,Mv Ikva,35C,37.98
IKV,Mv Ikva,35C,34.67
IKV,Mv Ikva,35C,38.09
DAN,Mv Dandár,35C,36.79
DAN,Mv Dandár,35C,34.31
DAN,Mv Dandár,35C,34.85
DAN,Mv Dandár,35C,36.75
TAR,Mv Tarsoly,40C,13.66
TAR,Mv Tarsoly,40C,14.73
TAR,Mv Tarsoly,40C,14.18
TAR,Mv Tarsoly,40C,14.75
KOL,Mv Kolompos,40C,23.37
KOL,Mv Kolompos,40C,26.23
KOL,Mv Kolompos,40C,25.71
KOL,Mv Kolompos,40C,26.68
LUC,Mv Lucilla,40C,13.41
LUC,Mv Lucilla,40C,13.78
LUC,Mv Lucilla,40C,16.8
LUC,Mv Lucilla,40C,16.27
PIR,Mv Pirkadat,40C,17.27
PIR,Mv Pirkadat,40C,17.47
PIR,Mv Pirkadat,40C,18.9
PIR,Mv Pirkadat,40C,18.61
IKV,Mv Ikva,40C,19.02
IKV,Mv Ikva,40C,17.34
IKV,Mv Ikva,40C,17.95
IKV,Mv Ikva,40C,19.1
DAN,Mv Dandár,40C,17.75
DAN,Mv Dandár,40C,19.62
DAN,Mv Dandár,40C,17.59
DAN,Mv Dandár,40C,19.93
