Genotype,Cultivar,Temperature,AKR_nkat_gFW
DAN,Mv Dandár,20C,26.922
DAN,Mv Dandár,20C,25.758
DAN,Mv Dandár,20C,27.199
DAN,Mv Dandár,20C,28.804
DAN,Mv Dandár,35C,37.009
DAN,Mv Dandár,35C,37.01
DAN,Mv Dandár,35C,40.56
DAN,Mv Dandár,35C,38.971
DAN,Mv Dandár,35C,36.549
DAN,Mv Dandár,40C,20.811
DAN,Mv Dandár,40C,19.009
DAN,Mv Dandár,40C,19.005
DAN,Mv Dandár,40C,20.273
IKV,Mv Ikva,20C,13.912
IKV,Mv Ikva,20C,14.114
IKV,Mv Ikva,20C,15.359
IKV,Mv Ikva,20C,14.876
IKV,Mv Ikva,35C,25.345
IKV,Mv Ikva,35C,24.129
IKV,Mv Ikva,35C,23.627
IKV,Mv Ikva,35C,26.491
IKV,Mv Ikva,35C,24.808
IKV,Mv Ikva,40C,8.605
IKV,Mv Ikva,40C,7.403
IKV,Mv Ikva,40C,8.112
IKV,Mv Ikva,40C,8.64
KOL,Mv Kolompos,20C,18.443
KOL,Mv Kolompos,20C,20.834
KOL,Mv Kolompos,20C,19.305
KOL,Mv Kolompos,20C,19.789
KOL,Mv Kolompos,20C,19.303
KOL,Mv Kolompos,35C,30.534
KOL,Mv Kolompos,35C,28.678
KOL,Mv Kolompos,35C,27.639
KOL,Mv Kolompos,35C,29.51
KOL,Mv Kolompos,35C,27.477
KOL,Mv Kolompos,40C,21.094
KOL,Mv Kolompos,40C,20.133
KOL,Mv Kolompos,40C,21.277
KOL,Mv Kolompos,40C,19.224
KOL,Mv Kolompos,40C,22.272
LUC,Mv Lucilla,20C,17.977
LUC,Mv Lucilla,20C,17.66
LUC,Mv Lucilla,20C,17.456
LUC,Mv Lucilla,20C,16.157
LUC,Mv Lucilla,35C,24.644
LUC,Mv Lucilla,35C,24.915
LUC,Mv Lucilla,35C,26.503
LUC,Mv Lucilla,35C,25.756
LUC,Mv Lucilla,35C,23.553
LUC,Mv Lucilla,40C,10.475
LUC,Mv Lucilla,40C,9.793
LUC,Mv Lucilla,40C,9.513
LUC,Mv Lucilla,40C,10.752
PIR,Mv Pirkadat,20C,18.163
PIR,Mv Pirkadat,20C,18.076
PIR,Mv Pirkadat,20C,16.533
PIR,Mv Pirkadat,20C,16.995
PIR,Mv Pirkadat,35C,22.331
PIR,Mv Pirkadat,35C,23.125
PIR,Mv Pirkadat,35C,21.333
PIR,Mv Pirkadat,35C,21.695
PIR,Mv Pirkadat,35C,20.56
PIR,Mv Pirkadat,40C,12.391
PIR,Mv Pirkadat,40C,13.486
PIR,Mv Pirkadat,40C,13.782
PIR,Mv Pirkadat,40C,13.004
TAR,Mv Tarsoly,20C,28.565
TAR,Mv Tarsoly,20C,27.381
TAR,Mv Tarsoly,20C,25.523
TAR,Mv Tarsoly,20C,27.38
TAR,Mv Tarsoly,35C,32.893
TAR,Mv Tarsoly,35C,31.601
TAR,Mv Tarsoly,35C,32.915
TAR,Mv Tarsoly,35C,29.479
TAR,Mv Tarsoly,35C,32.305
TAR,Mv Tarsoly,40C,14.422
TAR,Mv Tarsoly,40C,14.17
TAR,Mv Tarsoly,40C,14.425
TAR,Mv Tarsoly,40C,13.066
