Genotype,Cultivar,Temperature,AOR_AER_nkat_gFW
DAN,Mv Dandár,20C,58.446
DAN,Mv Dandár,20C,60.261
DAN,Mv Dandár,20C,63.787
DAN,Mv Dandár,20C,57.507
DAN,Mv Dandár,35C,155.408
DAN,Mv Dandár,35C,158.348
DAN,Mv Dandár,35C,171.934
DAN,Mv Dandár,35C,166.31
DAN,Mv Dandár,40C,105.566
DAN,Mv Dandár,40C,114.039
DAN,Mv Dandár,40C,110.658
DAN,Mv Dandár,40C,117.738
IKV,Mv Ikva,20C,43.073
IKV,Mv Ikva,20C,44.5
IKV,Mv Ikva,20C,44.255
IKV,Mv Ikva,20C,40.171
IKV,Mv Ikva,35C,107.114
IKV,Mv Ikva,35C,106.441
IKV,Mv Ikva,35C,101.525
IKV,Mv Ikva,35C,96.921
IKV,Mv Ikva,40C,50.588
IKV,Mv Ikva,40C,55.653
IKV,Mv Ikva,40C,56.05
IKV,Mv Ikva,40C,53.71
KOL,Mv Kolompos,20C,62.551
KOL,Mv Kolompos,20C,64.429
KOL,Mv Kolompos,20C,69.352
KOL,Mv Kolompos,20C,63.667
KOL,Mv Kolompos,35C,181.696
KOL,Mv Kolompos,35C,178.987
KOL,Mv Kolompos,35C,163.939
KOL,Mv Kolompos,35C,179.378
KOL,Mv Kolompos,40C,110.808
KOL,Mv Kolompos,40C,115.722
KOL,Mv Kolompos,40C,124.088
KOL,Mv Kolompos,40C,109.382
LUC,Mv Lucilla,20C,56.464
LUC,Mv Lucilla,20C,53.536
LUC,Mv Lucilla,20C,59.505
LUC,Mv Lucilla,20C,58.495
LUC,Mv Lucilla,35C,201.545
LUC,Mv Lucilla,35C,190.052
LUC,Mv Lucilla,35C,205.679
LUC,Mv Lucilla,35C,186.724
LUC,Mv Lucilla,40C,108.988
LUC,Mv Lucilla,40C,114.611
LUC,Mv Lucilla,40C,103.457
LUC,Mv Lucilla,40C,104.945
PIR,Mv Pirkadat,20C,38.266
PIR,Mv Pirkadat,20C,36.929
PIR,Mv Pirkadat,20C,34.608
PIR,Mv Pirkadat,20C,38.197
PIR,Mv Pirkadat,35C,118.078
PIR,Mv Pirkadat,35C,125.125
PIR,Mv Pirkadat,35C,118.734
PIR,Mv Pirkadat,35C,130.063
PIR,Mv Pirkadat,40C,87.116
PIR,Mv Pirkadat,40C,89.274
PIR,Mv Pirkadat,40C,94.589
PIR,Mv Pirkadat,40C,85.021
TAR,Mv Tarsoly,20C,57.435
TAR,Mv Tarsoly,20C,59.789
TAR,Mv Tarsoly,20C,53.435
TAR,Mv Tarsoly,20C,57.342
TAR,Mv Tarsoly,35C,148.004
TAR,Mv Tarsoly,35C,151.275
TAR,Mv Tarsoly,35C,138.622
TAR,Mv Tarsoly,35C,138.099
TAR,Mv Tarsoly,40C,40.485
TAR,Mv Tarsoly,40C,37.157
TAR,Mv Tarsoly,40C,36.469
TAR,Mv Tarsoly,40C,37.889
