Genotype,Cultivar,Temperature,FW_g
DAN,Mv Dandár,20C,0.473
DAN,Mv Dandár,20C,0.328
DAN,Mv Dandár,20C,0.612
DAN,Mv Dandár,20C,0.369
DAN,Mv Dandár,20C,0.44
DAN,Mv Dandár,20C,0.457
DAN,Mv Dandár,20C,0.424
IKV,Mv Ikva,20C,0.336
IKV,Mv Ikva,20C,0.397
IKV,Mv Ikva,20C,0.411
IKV,Mv Ikva,20C,0.51
IKV,Mv Ikva,20C,0.383
IKV,Mv Ikva,20C,0.429
IKV,Mv Ikva,20C,0.359
KOL,Mv Kolompos,20C,0.736
KOL,Mv Kolompos,20C,0.768
KOL,Mv Kolompos,20C,0.808
KOL,Mv Kolompos,20C,0.899
KOL,Mv Kolompos,20C,0.993
KOL,Mv Kolompos,20C,0.839
KOL,Mv Kolompos,20C,0.645
LUC,Mv Lucilla,20C,0.421
LUC,Mv Lucilla,20C,0.526
LUC,Mv Lucilla,20C,0.539
LUC,Mv Lucilla,20C,0.496
LUC,Mv Lucilla,20C,0.504
LUC,Mv Lucilla,20C,0.435
LUC,Mv Lucilla,20C,0.693
PIR,Mv Pirkadat,20C,0.803
PIR,Mv Pirkadat,20C,0.827
PIR,Mv Pirkadat,20C,0.72
PIR,Mv Pirkadat,20C,0.91
PIR,Mv Pirkadat,20C,0.884
PIR,Mv Pirkadat,20C,0.69
PIR,Mv Pirkadat,20C,0.728
TAR,Mv Tarsoly,20C,0.57
TAR,Mv Tarsoly,20C,0.494
TAR,Mv Tarsoly,20C,0.652
TAR,Mv Tarsoly,20C,0.627
TAR,Mv Tarsoly,20C,0.57
TAR,Mv Tarsoly,20C,0.461
TAR,Mv Tarsoly,20C,0.431
DAN,Mv Dandár,35C,0.318
DAN,Mv Dandár,35C,0.316
DAN,Mv Dandár,35C,0.407
DAN,Mv Dandár,35C,0.463
DAN,Mv Dandár,35C,0.327
DAN,Mv Dandár,35C,0.411
DAN,Mv Dandár,35C,0.341
IKV,Mv Ikva,35C,0.397
IKV,Mv Ikva,35C,0.322
IKV,Mv Ikva,35C,0.346
IKV,Mv Ikva,35C,0.445
IKV,Mv Ikva,35C,0.36
IKV,Mv Ikva,35C,0.404
IKV,Mv Ikva,35C,0.409
KOL,Mv Kolompos,35C,0.379
KOL,Mv Kolompos,35C,0.593
KOL,Mv Kolompos,35C,0.508
KOL,Mv Kolompos,35C,0.444
KOL,Mv Kolompos,35C,0.413
KOL,Mv Kolompos,35C,0.389
KOL,Mv Kolompos,35C,0.47
LUC,Mv Lucilla,35C,0.522
LUC,Mv Lucilla,35C,0.49
LUC,Mv Lucilla,35C,0.536
LUC,Mv Lucilla,35C,0.504
LUC,Mv Lucilla,35C,0.463
LUC,Mv Lucilla,35C,0.458
LUC,Mv Lucilla,35C,0.461
PIR,Mv Pirkadat,35C,0.362
PIR,Mv Pirkadat,35C,0.407
PIR,Mv Pirkadat,35C,0.383
PIR,Mv Pirkadat,35C,0.389
PIR,Mv Pirkadat,35C,0.409
PIR,Mv Pirkadat,35C,0.46
PIR,Mv Pirkadat,35C,0.437
TAR,Mv Tarsoly,35C,0.361
TAR,Mv Tarsoly,35C,0.341
TAR,Mv Tarsoly,35C,0.321
TAR,Mv Tarsoly,35C,0.475
TAR,Mv Tarsoly,35C,0.386
TAR,Mv Tarsoly,35C,0.337
TAR,Mv Tarsoly,35C,0.372
DAN,Mv Dandár,40C,0.331
DAN,Mv Dandár,40C,0.298
DAN,Mv Dandár,40C,0.401
DAN,Mv Dandár,40C,0.339
DAN,Mv Dandár,40C,0.375
DAN,Mv Dandár,40C,0.325
DAN,Mv Dandár,40C,0.335
IKV,Mv Ikva,40C,0.265
IKV,Mv Ikva,40C,0.209
IKV,Mv Ikva,40C,0.248
IKV,Mv Ikva,40C,0.23
IKV,Mv Ikva,40C,0.272
IKV,Mv Ikva,40C,0.265
IKV,Mv Ikva,40C,0.229
KOL,Mv Kolompos,40C,0.262
KOL,Mv Kolompos,40C,0.257
KOL,Mv Kolompos,40C,0.332
KOL,Mv Kolompos,40C,0.252
KOL,Mv Kolompos,40C,0.333
KOL,Mv Kolompos,40C,0.247
KOL,Mv Kolompos,40C,0.27
LUC,Mv Lucilla,40C,0.262
LUC,Mv Lucilla,40C,0.253
LUC,Mv Lucilla,40C,0.246
LUC,Mv Lucilla,40C,0.319
LUC,Mv Lucilla,40C,0.271
LUC,Mv Lucilla,40C,0.264
LUC,Mv Lucilla,40C,0.229
PIR,Mv Pirkadat,40C,0.355
PIR,Mv Pirkadat,40C,0.307
PIR,Mv Pirkadat,40C,0.333
PIR,Mv Pirkadat,40C,0.288
PIR,Mv Pirkadat,40C,0.369
PIR,Mv Pirkadat,40C,0.333
PIR,Mv Pirkadat,40C,0.33
TAR,Mv Tarsoly,40C,0.347
TAR,Mv Tarsoly,40C,0.371
TAR,Mv Tarsoly,40C,0.337
TAR,Mv Tarsoly,40C,0.291
TAR,Mv Tarsoly,40C,0.332
TAR,Mv Tarsoly,40C,0.311
TAR,Mv Tarsoly,40C,0.373
