Genotype,Genotype_code,Temperature,Pn,E,gs,VPD,WUE
Mv Ikva,IKV,20,7.8,0.6,25,2.2,13.8
Mv Ikva,IKV,20,4,0.5,21,2.2,16.8
Mv Ikva,IKV,20,4,0.5,20,2.2,18.3
Mv Ikva,IKV,35,5.8,1.04,19,5.48,5.58
Mv Ikva,IKV,35,3,0.87,16,5.48,3.41
Mv Ikva,IKV,35,3,0.83,15,5.48,3.58
Mv Ikva,IKV,40,3.8,0.96,13,7.24,3.98
Mv Ikva,IKV,40,2,0.8,11,7.24,2.43
Mv Ikva,IKV,40,2,0.76,11,7.24,2.55
Mv Tarsoly,TAR,20,5.9,0.4,16,2.2,15.4
Mv Tarsoly,TAR,20,5,0.5,24,2.2,18.4
Mv Tarsoly,TAR,20,6.3,0.4,18,2.2,14.8
Mv Tarsoly,TAR,35,4.4,0.67,12,5.48,6.6
Mv Tarsoly,TAR,35,3.7,1,18,5.48,3.73
Mv Tarsoly,TAR,35,4.7,0.75,14,5.48,6.26
Mv Tarsoly,TAR,40,2.9,0.61,9,7.24,4.71
Mv Tarsoly,TAR,40,2.4,0.92,13,7.24,2.66
Mv Tarsoly,TAR,40,3.1,0.69,10,7.24,4.47
Mv Kolompos,KOL,20,5.6,0.7,32,2.2,8
Mv Kolompos,KOL,20,6.6,0.7,33,2.2,8.9
Mv Kolompos,KOL,20,6.2,0.5,23,2.2,12.1
Mv Kolompos,KOL,35,4.2,1.33,25,5.48,3.13
Mv Kolompos,KOL,35,4.9,1.37,25,5.48,3.58
Mv Kolompos,KOL,35,4.6,0.96,18,5.48,4.82
Mv Kolompos,KOL,40,2.7,1.22,17,7.24,2.23
Mv Kolompos,KOL,40,3.2,1.26,18,7.24,2.55
Mv Kolompos,KOL,40,3,0.88,12,7.24,3.44
Mv Lucilla,LUC,20,7.1,0.7,30,2.2,11.1
Mv Lucilla,LUC,20,7.4,0.4,16,2.2,19.7
Mv Lucilla,LUC,20,6.5,0.5,22,2.2,12.9
Mv Lucilla,LUC,35,5.3,1.25,23,5.48,4.24
Mv Lucilla,LUC,35,5.5,0.67,12,5.48,8.28
Mv Lucilla,LUC,35,4.8,0.91,17,5.48,5.29
Mv Lucilla,LUC,40,3.5,1.15,16,7.24,3.02
Mv Lucilla,LUC,40,3.6,0.61,9,7.24,5.91
Mv Lucilla,LUC,40,3.2,0.84,12,7.24,3.77
Mv Pirkadat,PIR,20,2.8,0.4,17,2.2,7
Mv Pirkadat,PIR,20,4.9,0.3,13,2.2,16.3
Mv Pirkadat,PIR,20,3.8,0.4,18,2.2,9.5
Mv Pirkadat,PIR,35,2.1,0.71,13,5.48,2.95
Mv Pirkadat,PIR,35,3.6,0.54,10,5.48,6.75
Mv Pirkadat,PIR,35,2.8,0.75,14,5.48,3.78
Mv Pirkadat,PIR,40,1.4,0.65,9,7.24,2.1
Mv Pirkadat,PIR,40,2.4,0.5,7,7.24,4.81
Mv Pirkadat,PIR,40,1.9,0.69,10,7.24,2.7
Mv Dandár,DAN,20,4.3,0.4,24,2.4,7.1
Mv Dandár,DAN,20,7.6,0.7,30,2.2,5.1
Mv Dandár,DAN,20,7.5,0.4,18,2.2,8
Mv Dandár,DAN,35,3.2,1.03,18,5.68,3.09
Mv Dandár,DAN,35,5.7,1.25,23,5.48,4.53
Mv Dandár,DAN,35,5.6,0.75,14,5.48,7.46
Mv Dandár,DAN,40,2.1,0.94,13,7.44,2.23
Mv Dandár,DAN,40,3.7,1.15,16,7.24,3.24
Mv Dandár,DAN,40,3.7,0.69,10,7.24,5.32
