Genotype,Cultivar,Temperature,PAL_nkat_gFW
IKV,Mv Ikva,20C,912.63
IKV,Mv Ikva,20C,934.88
IKV,Mv Ikva,20C,961.93
IKV,Mv Ikva,20C,867.68
IKV,Mv Ikva,20C,836.18
LUC,Mv Lucilla,20C,1173.92
LUC,Mv Lucilla,20C,1185.52
LUC,Mv Lucilla,20C,1279.77
LUC,Mv Lucilla,20C,1287.02
LUC,Mv Lucilla,20C,1331.97
PIR,Mv Pirkadat,20C,1009.49
PIR,Mv Pirkadat,20C,1002.24
PIR,Mv Pirkadat,20C,1026.89
PIR,Mv Pirkadat,20C,909.14
PIR,Mv Pirkadat,20C,875.64
DAN,Mv Dandár,20C,1299.49
DAN,Mv Dandár,20C,1099.39
DAN,Mv Dandár,20C,1221.19
DAN,Mv Dandár,20C,1063.14
DAN,Mv Dandár,20C,1322.69
TAR,Mv Tarsoly,20C,806.2
TAR,Mv Tarsoly,20C,788.75
TAR,Mv Tarsoly,20C,914.95
TAR,Mv Tarsoly,20C,809.1
TAR,Mv Tarsoly,20C,855.5
KOL,Mv Kolompos,20C,701.51
KOL,Mv Kolompos,20C,769.66
KOL,Mv Kolompos,20C,794.31
KOL,Mv Kolompos,20C,742.11
KOL,Mv Kolompos,20C,833.51
PIR,Mv Pirkadat,40C,825.75
PIR,Mv Pirkadat,40C,742.15
PIR,Mv Pirkadat,40C,718.02
PIR,Mv Pirkadat,40C,841.68
KOL,Mv Kolompos,40C,946.85
KOL,Mv Kolompos,40C,921.35
KOL,Mv Kolompos,40C,860.75
KOL,Mv Kolompos,40C,830.85
LUC,Mv Lucilla,40C,916.35
LUC,Mv Lucilla,40C,890.95
LUC,Mv Lucilla,40C,792.18
LUC,Mv Lucilla,40C,780.58
IKV,Mv Ikva,40C,902.38
IKV,Mv Ikva,40C,1069.62
IKV,Mv Ikva,40C,799.92
IKV,Mv Ikva,40C,990.35
TAR,Mv Tarsoly,40C,1194.07
TAR,Mv Tarsoly,40C,964.01
TAR,Mv Tarsoly,40C,1102.24
TAR,Mv Tarsoly,40C,1025.87
DAN,Mv Dandár,40C,565.02
DAN,Mv Dandár,40C,705.18
DAN,Mv Dandár,40C,440.32
DAN,Mv Dandár,40C,404.55
PIR,Mv Pirkadat,35C,1288
PIR,Mv Pirkadat,35C,1323.59
PIR,Mv Pirkadat,35C,1243.29
PIR,Mv Pirkadat,35C,1375.12
KOL,Mv Kolompos,35C,1179.14
KOL,Mv Kolompos,35C,999.41
KOL,Mv Kolompos,35C,982.07
KOL,Mv Kolompos,35C,1146.26
LUC,Mv Lucilla,35C,1497.96
LUC,Mv Lucilla,35C,1509.86
LUC,Mv Lucilla,35C,1679.64
LUC,Mv Lucilla,35C,1621.07
IKV,Mv Ikva,35C,1310.66
IKV,Mv Ikva,35C,1300.57
IKV,Mv Ikva,35C,1417
IKV,Mv Ikva,35C,1450.82
TAR,Mv Tarsoly,35C,1190.8
TAR,Mv Tarsoly,35C,1330.38
TAR,Mv Tarsoly,35C,1230.87
TAR,Mv Tarsoly,35C,1148.49
DAN,Mv Dandár,35C,1421.09
DAN,Mv Dandár,35C,1659.79
DAN,Mv Dandár,35C,1459.09
DAN,Mv Dandár,35C,1606.16
