Genotype,Temperature,Anthocyanin_nmol_gFW
DAN,20C,3.73
DAN,20C,4.02
DAN,20C,6.49
DAN,20C,5.35
IKV,20C,2.49
IKV,20C,2.45
IKV,20C,2.31
KOL,20C,11.08
KOL,20C,2.53
KOL,20C,7.86
LUC,20C,2.76
LUC,20C,1.77
LUC,20C,2.29
LUC,20C,3.54
PIR,20C,8.67
PIR,20C,4.63
PIR,20C,1.54
PIR,20C,6.65
TAR,20C,9.37
TAR,20C,5.6
TAR,20C,1.21
TAR,20C,8.67
DAN,40C,6.44
DAN,40C,5.54
DAN,40C,7.58
DAN,40C,6.61
IKV,40C,7.64
IKV,40C,6.16
IKV,40C,8.05
KOL,40C,7.04
KOL,40C,6.82
KOL,40C,7.16
KOL,40C,6.46
LUC,40C,13.38
LUC,40C,10.95
LUC,40C,13.86
LUC,40C,7.31
PIR,40C,14.56
PIR,40C,11.01
PIR,40C,17.97
PIR,40C,8.46
TAR,40C,5.25
TAR,40C,9.41
TAR,40C,9.97
TAR,40C,12.48
