Genotype,Temperature,Carotenoid_ug_gFW
DAN,20C,543.21
DAN,20C,609.36
DAN,20C,634.86
DAN,20C,572.57
IKV,20C,607.71
IKV,20C,585.79
IKV,20C,542.68
IKV,20C,535.82
KOL,20C,582.72
KOL,20C,600.18
KOL,20C,617.02
KOL,20C,580.08
LUC,20C,685.87
LUC,20C,549.9
LUC,20C,586.08
LUC,20C,498.15
PIR,20C,629.66
PIR,20C,533.99
PIR,20C,581.94
PIR,20C,554.42
TAR,20C,573.67
TAR,20C,561.76
TAR,20C,608.42
TAR,20C,528.15
DAN,35C,564.87
DAN,35C,620.15
DAN,35C,643.93
DAN,35C,671.06
IKV,35C,704.2
IKV,35C,584.11
IKV,35C,563.27
IKV,35C,548.43
KOL,35C,585.22
KOL,35C,695.96
KOL,35C,601.67
KOL,35C,657.15
LUC,35C,600.42
LUC,35C,641.68
LUC,35C,608.9
LUC,35C,628.99
PIR,35C,632.36
PIR,35C,566.53
PIR,35C,634.33
PIR,35C,586.78
TAR,35C,596.87
TAR,35C,594.93
TAR,35C,585.64
TAR,35C,582.56
DAN,40C,520.67
DAN,40C,517.68
DAN,40C,595.33
DAN,40C,586.32
IKV,40C,524.99
IKV,40C,526.8
IKV,40C,508.96
IKV,40C,519.25
KOL,40C,573.47
KOL,40C,637.01
KOL,40C,603.4
KOL,40C,646.12
LUC,40C,616.43
LUC,40C,569.83
LUC,40C,635.76
LUC,40C,577.98
PIR,40C,517.29
PIR,40C,495.59
PIR,40C,479.2
PIR,40C,447.91
TAR,40C,480.57
TAR,40C,455.44
TAR,40C,442.04
TAR,40C,461.94
