Genotype,Temperature,Chl_ab_ug_gFW
DAN,20C,3033.44
DAN,20C,3119.12
DAN,20C,3205.44
DAN,20C,2594.88
IKV,20C,3181.44
IKV,20C,3857.12
IKV,20C,3313.84
IKV,20C,2732.4
KOL,20C,2610.7200000000003
KOL,20C,2936.56
KOL,20C,3123.36
KOL,20C,3261.1200000000003
LUC,20C,2683.04
LUC,20C,3658.4
LUC,20C,3918.4
LUC,20C,2755.68
PIR,20C,3188.4
PIR,20C,3198.64
PIR,20C,2393.84
PIR,20C,3958.24
TAR,20C,2298.7200000000003
TAR,20C,2875.04
TAR,20C,4030.0
TAR,20C,3742.88
DAN,35C,2425.35
DAN,35C,2649.0
DAN,35C,2186.66
DAN,35C,2898.94
IKV,35C,3064.22
IKV,35C,2422.72
IKV,35C,2409.0
IKV,35C,2833.6
KOL,35C,2343.12
KOL,35C,2369.11
KOL,35C,2957.75
KOL,35C,2829.96
LUC,35C,3021.11
LUC,35C,2998.26
LUC,35C,3261.94
LUC,35C,2432.66
PIR,35C,2460.33
PIR,35C,2816.27
PIR,35C,2562.5
PIR,35C,2097.41
TAR,35C,2174.53
TAR,35C,2846.5
TAR,35C,2319.72
TAR,35C,2369.23
DAN,40C,2052.32
DAN,40C,1804.49
DAN,40C,2325.34
DAN,40C,2423.93
IKV,40C,1959.28
IKV,40C,2541.12
IKV,40C,2614.16
IKV,40C,2100.64
KOL,40C,2575.48
KOL,40C,2518.04
KOL,40C,2305.49
KOL,40C,1907.76
LUC,40C,3085.73
LUC,40C,2456.3
LUC,40C,2563.03
LUC,40C,2307.35
PIR,40C,1524.48
PIR,40C,1973.12
PIR,40C,2453.28
PIR,40C,1798.9599999999998
TAR,40C,1891.92
TAR,40C,1534.08
TAR,40C,1312.2399999999998
TAR,40C,1882.0
