Genotype,Temperature,Chl_a_b_ratio
DAN,20C,3.151
DAN,20C,3.401
DAN,20C,3.042
DAN,20C,2.886
IKV,20C,3.024
IKV,20C,3.227
IKV,20C,3.18
IKV,20C,2.89
KOL,20C,3.193
KOL,20C,2.851
KOL,20C,2.923
KOL,20C,3.233
LUC,20C,3.197
LUC,20C,2.828
LUC,20C,3.316
LUC,20C,3.058
PIR,20C,3.059
PIR,20C,3.231
PIR,20C,2.942
PIR,20C,2.968
TAR,20C,3.22
TAR,20C,3.035
TAR,20C,3.01
TAR,20C,2.735
DAN,35C,2.692
DAN,35C,2.744
DAN,35C,2.712
DAN,35C,2.731
IKV,35C,2.683
IKV,35C,2.585
IKV,35C,2.74
IKV,35C,2.793
KOL,35C,2.716
KOL,35C,2.974
KOL,35C,2.815
KOL,35C,2.895
LUC,35C,2.691
LUC,35C,2.839
LUC,35C,3.065
LUC,35C,3.084
PIR,35C,2.644
PIR,35C,2.652
PIR,35C,2.549
PIR,35C,2.636
TAR,35C,2.632
TAR,35C,2.583
TAR,35C,2.648
TAR,35C,2.336
DAN,40C,2.385
DAN,40C,2.329
DAN,40C,2.311
DAN,40C,2.375
IKV,40C,2.426
IKV,40C,2.156
IKV,40C,2.437
IKV,40C,2.181
KOL,40C,2.497
KOL,40C,2.692
KOL,40C,2.563
KOL,40C,2.648
LUC,40C,2.563
LUC,40C,2.67
LUC,40C,2.689
LUC,40C,2.797
PIR,40C,2.002
PIR,40C,2.061
PIR,40C,2.102
PIR,40C,2.035
TAR,40C,1.98
TAR,40C,1.973
TAR,40C,1.847
TAR,40C,2.121
