Genotype,Temperature,DAP_ug_gFW,PUT_ug_gFW,CAD_ug_gFW,SPD_ug_gFW,SPM_ug_gFW
DAN,20C,0.613,0.445,0.055,4.722,11.681
DAN,20C,0.447,0.725,0.07,5.004,13.856
DAN,20C,0.68,0.369,0.178,5.615,14.979
DAN,20C,0.663,0.869,0.135,8.264,13.74
DAN,20C,0.557,2.363,0.087,5.179,9.413
PIR,20C,0.58,0.801,0.059,7.144,16.814
PIR,20C,0.851,0.448,0.037,5.348,12.586
PIR,20C,0.81,0.469,0.193,7.217,18.289
PIR,20C,1.047,0.337,0.078,5.291,15.841
PIR,20C,0.65,0.415,0.063,5.43,15.19
LUC,20C,1.536,0.299,0.049,2.969,9.527
LUC,20C,1.894,0.546,0.035,5.073,10.952
LUC,20C,1.982,0.472,0.109,3.542,10.422
LUC,20C,1.985,0.382,0.039,3.638,10.909
LUC,20C,2.334,0.349,0.055,3.566,18.814
KOL,20C,2.28,0.228,0.113,1.416,8.785
KOL,20C,2.147,0.666,0.156,3.13,12.282
KOL,20C,1.985,0.606,0.095,3.111,10.023
KOL,20C,1.81,0.254,0.046,1.615,6.661
KOL,20C,2.47,0.23,0.135,1.419,12.237
TAR,20C,1.281,0.224,0.06,2.164,13.798
TAR,20C,0.798,0.321,0.073,3.5,19.46
TAR,20C,1.579,0.355,0.143,3.758,11.099
TAR,20C,1.989,0.282,0.074,2.605,14.691
TAR,20C,1.283,0.425,0.193,4.421,16.589
IKV,20C,1.857,0.365,0.07,2.521,10.702
IKV,20C,1.937,1.467,0.362,4.822,10.4
IKV,20C,3.351,3.018,0.249,4.522,8.755
IKV,20C,2.264,0.592,NA,5.024,6.917
IKV,20C,1.898,0.364,0.053,2.999,8.917
DAN,35C,8.242,1.888,0.242,2.583,6.679
DAN,35C,5.662,2.501,0.256,3.172,3.461
DAN,35C,6.53,4.585,0.365,3.19,4.274
DAN,35C,7.27,1.971,0.404,2.473,4.677
DAN,35C,6.433,1.786,0.366,0.839,6.786
KOL,35C,6.275,3.395,0.211,1.716,6.688
KOL,35C,6.374,2.732,0.175,0.56,3.863
KOL,35C,5.656,2.978,0.531,0.864,4.39
KOL,35C,6.741,3.908,0.335,3.14,4.761
KOL,35C,5.649,3.556,0.253,1.773,2.584
TAR,35C,6.815,3.857,0.445,2.856,3.7
TAR,35C,7.009,1.809,0.189,3.092,6.085
TAR,35C,8.162,1.645,0.292,1.913,4.67
TAR,35C,7.915,3.273,0.277,2.504,3.566
TAR,35C,8.6,1.736,0.235,1.905,5.584
IKV,35C,6.256,3.028,0.308,2.321,4.611
IKV,35C,6.302,2.678,0.39,2.4,8.623
IKV,35C,7.194,2.714,0.195,2.633,5.86
IKV,35C,7.411,2.852,0.542,1.966,13.127
IKV,35C,6.254,4.301,0.415,2.996,14.111
PIR,35C,6.359,2.97,0.29,2.117,11.647
PIR,35C,5.62,1.07,0.152,1.479,6.449
PIR,35C,5.102,1.58,0.091,1.865,5.364
PIR,35C,5.946,3.646,0.343,2.73,8.605
PIR,35C,4.35,1.459,0.176,2.038,5.793
LUC,35C,5.286,1.541,0.166,1.652,7.362
LUC,35C,5.485,3.057,0.395,2.559,9.131
LUC,35C,5.873,1.741,0.201,2.612,6.008
LUC,35C,5.074,2.373,0.144,2.65,7.144
LUC,35C,7.604,2.019,0.145,2.326,8.025
IKV,40C,6.021,5.657,0.749,1.465,3.741
IKV,40C,6.493,6.545,0.805,2.233,2.928
IKV,40C,10.113,8.486,0.995,4.755,6.027
IKV,40C,6.018,6.629,0.814,2.443,3.991
IKV,40C,7.384,6.155,1.055,2.859,2.54
TAR,40C,6.237,2.898,1.127,2.565,3.651
TAR,40C,7.512,4.213,1.243,2.065,3.243
TAR,40C,9.124,3.484,1.46,2.284,2.587
TAR,40C,6.124,3.018,1.309,2.188,3.941
TAR,40C,7.167,2.862,1.182,1.854,6.366
KOL,40C,8.13,4.012,0.325,1.386,2.054
KOL,40C,7.829,4.102,0.395,2.471,2.659
KOL,40C,7.924,5.041,0.404,3.503,2.088
KOL,40C,8.005,4.078,0.358,2.564,3.777
KOL,40C,10.057,4.755,0.704,2.968,5.608
LUC,40C,6.999,2.259,0.742,1.938,2.901
LUC,40C,8.175,2.492,0.62,2.327,6.0
LUC,40C,7.313,2.628,1.031,1.913,4.602
LUC,40C,8.655,3.08,0.991,2.491,2.704
LUC,40C,6.999,2.78,1.024,2.221,2.555
DAN,40C,7.217,2.64,0.42,2.48,4.362
DAN,40C,5.652,2.85,0.464,2.283,2.591
DAN,40C,7.705,2.401,0.49,1.707,2.11
DAN,40C,6.49,3.614,0.415,3.568,3.365
DAN,40C,6.432,2.792,0.481,2.413,2.5
PIR,40C,6.496,4.286,0.527,2.607,2.949
PIR,40C,6.191,5.875,0.842,4.153,3.043
PIR,40C,6.483,6.13,0.696,3.785,9.46
PIR,40C,6.384,3.839,0.594,2.282,2.381
PIR,40C,7.0035,4.455,0.572,3.0225,2.637
